e5_4f_nolabel.jpg

path: data/e5_4f_nolabel.jpg

rectangle coordinates:
[
		[(16, 16), (16, 567), (1676, 567), (1676, 16)],
		[(17, 17), (17, 115), (342, 115), (342, 17)],
		[(378, 17), (378, 115), (912, 115), (912, 17)],
		[(1092, 17), (1092, 115), (1511, 115), (1511, 17)],
		[(1546, 17), (1546, 115), (1676, 115), (1675, 17)],
		[(17, 141), (17, 447), (30, 447), (30, 141)],
		[(51, 141), (51, 447), (342, 447), (342, 141)],
		[(378, 141), (378, 447), (1059, 447), (1059, 141)],
		[(1092, 141), (1092, 447), (1570, 447), (1570, 141)],
		[(1597, 141), (1597, 447), (1675, 447), (1675, 141)],
		[(17, 468), (17, 566), (342, 566), (342, 468)],
		[(378, 468), (378, 566), (1675, 566), (1675, 468)]
]
